rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,ord,currency,thstrm_add_amount,frmtrm_q_nm,frmtrm_q_amount,frmtrm_add_amount,연결구분,bfefrmtrm_nm,bfefrmtrm_amount
20240312000736,11011,2023,00126380,BS,재무상태표,ifrs-full_Assets,자산총계,-,제 55 기,455905980000000,제 54 기,448424507000000,7,KRW,,,,,연결,제 53 기,426621158000000
20240312000736,11011,2023,00126380,BS,재무상태표,ifrs-full_CurrentAssets,유동자산,-,제 55 기,195936557000000,제 54 기,218470581000000,8,KRW,,,,,연결,제 53 기,218163185000000
20240312000736,11011,2023,00126380,BS,재무상태표,dart_ShortTermOtherReceivables,미수금,-,제 55 기,6633248000000,제 54 기,6149209000000,9,KRW,,,,,연결,제 53 기,4497257000000
20240312000736,11011,2023,00126380,BS,재무상태표,dart_ShortTermPrepaidExpenses,선급비용,-,제 55 기,3366130000000,제 54 기,2867823000000,10,KRW,,,,,연결,제 53 기,2336252000000
20240312000736,11011,2023,00126380,BS,재무상태표,ifrs-full_CashAndCashEquivalents,현금및현금성자산,-,제 55 기,69080893000000,제 54 기,49680710000000,11,KRW,,,,,연결,제 53 기,39031415000000
20240312000736,11011,2023,00126380,BS,재무상태표,ifrs-full_CurrentFinancialAssetsAtAmortisedCost,단기상각후원가금융자산,-,제 55 기,608281000000,제 54 기,414610000000,12,KRW,,,,,연결,제 53 기,3369034000000
20240312000736,11011,2023,00126380,BS,재무상태표,ifrs-full_CurrentFinancialAssetsAtFairValueThroughProfitOrLoss,단기당기손익-공정가치금융자산,-,제 55 기,27112000000,제 54 기,29080000000,13,KRW,,,,,연결,제 53 기,40757000000
20240312000736,11011,2023,00126380,BS,재무상태표,ifrs-full_CurrentTradeReceivables,매출채권,-,제 55 기,36647393000000,제 54 기,35721563000000,14,KRW,,,,,연결,제 53 기,40713415000000
20240312000736,11011,2023,00126380,BS,재무상태표,ifrs-full_Inventories,재고자산,-,제 55 기,51625874000000,제 54 기,52187866000000,15,KRW,,,,,연결,제 53 기,41384404000000
20240312000736,11011,2023,00126380,BS,재무상태표,ifrs-full_NoncurrentAssetsOrDisposalGroupsClassifiedAsHeldForSaleOrAsHeldForDistributionToOwners,매각예정분류자산,-,제 55 기,217864000000,제 54 기,0,16,KRW,,,,,연결,제 53 기,0
20240312000736,11011,2023,00126380,BS,재무상태표,ifrs-full_OtherCurrentAssets,기타유동자산,-,제 55 기,5038838000000,제 54 기,6316834000000,17,KRW,,,,,연결,제 53 기,5081665000000
20240312000736,11011,2023,00126380,BS,재무상태표,ifrs-full_ShorttermDepositsNotClassifiedAsCashEquivalents,단기금융상품,-,제 55 기,22690924000000,제 54 기,65102886000000,18,KRW,,,,,연결,제 53 기,81708986000000
20240312000736,11011,2023,00126380,BS,재무상태표,ifrs-full_NoncurrentAssets,비유동자산,-,제 55 기,259969423000000,제 54 기,229953926000000,19,KRW,,,,,연결,제 53 기,208457973000000
20240312000736,11011,2023,00126380,BS,재무상태표,ifrs-full_DeferredTaxAssets,이연법인세자산,-,제 55 기,10211797000000,제 54 기,5101318000000,20,KRW,,,,,연결,제 53 기,4261214000000
20240312000736,11011,2023,00126380,BS,재무상태표,ifrs-full_IntangibleAssetsAndGoodwill,무형자산,-,제 55 기,22741862000000,제 54 기,20217754000000,21,KRW,,,,,연결,제 53 기,20236244000000
20240312000736,11011,2023,00126380,BS,재무상태표,ifrs-full_InvestmentAccountedForUsingEquityMethod,관계종속기업투자자산-지분법,-,제 55 기,11767444000000,제 54 기,10893869000000,22,KRW,,,,,연결,제 53 기,8932251000000
