날짜,시가,고가,저가,종가,거래량,등락률
2024-06-03,43350,45750,43350,43850,576417,1.0368663594470047
2024-06-04,44150,45300,43100,44700,487562,1.9384264538198404
2024-06-05,44900,50000,44800,49600,2065918,10.961968680089486
2024-06-07,49000,49500,47550,47550,730851,-4.133064516129032
2024-06-10,47150,48100,46200,46750,445245,-1.6824395373291272
2024-06-11,47000,47800,45550,47100,515277,0.7486631016042781
2024-06-12,47300,48900,47100,47500,461015,0.8492569002123143
2024-06-13,47650,47800,43700,44000,1377307,-7.368421052631578
2024-06-14,44200,44600,42450,43050,717693,-2.159090909090909
2024-06-17,43050,45350,43050,45350,815955,5.342624854819976
2024-06-18,46200,46500,44350,44350,709937,-2.2050716648291067
2024-06-19,44900,46350,44350,45250,501511,2.029312288613303
2024-06-20,45350,46600,44800,45600,389627,0.7734806629834254
2024-06-21,45700,45750,42300,42800,856217,-6.140350877192982
2024-06-24,42700,44100,42050,43200,388584,0.9345794392523363
2024-06-25,43800,45400,43750,44700,550513,3.4722222222222223
2024-06-26,46400,46400,45100,45600,504714,2.013422818791946
2024-06-27,45300,45500,44100,44100,334825,-3.289473684210526
2024-06-28,44200,45800,43900,43900,320794,-0.45351473922902497
