rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,ord,currency,thstrm_add_amount,frmtrm_q_nm,frmtrm_q_amount,frmtrm_add_amount,연결구분,bfefrmtrm_nm,bfefrmtrm_amount
20190814000290,11012,2019,00109286,BS,재무상태표,ifrs_CurrentAssets,유동자산,-,제 73 기 반기말,567166010967,제 72 기말,447800609940,1,KRW,,,,,연결,,
20190814000290,11012,2019,00109286,BS,재무상태표,ifrs_CashAndCashEquivalents,현금및현금성자산,-,제 73 기 반기말,25296611208,제 72 기말,14774984070,2,KRW,,,,,연결,,
20190814000290,11012,2019,00109286,BS,재무상태표,ifrs_TradeAndOtherCurrentReceivables,매출채권 및 기타유동채권,-,제 73 기 반기말,327351947408,제 72 기말,203681242838,3,KRW,,,,,연결,,
20190814000290,11012,2019,00109286,BS,재무상태표,ifrs_OtherCurrentFinancialAssets,기타유동금융자산,-,제 73 기 반기말,1644520087,제 72 기말,1685897611,4,KRW,,,,,연결,,
20190814000290,11012,2019,00109286,BS,재무상태표,dart_OtherCurrentAssets,기타유동자산,-,제 73 기 반기말,10307585145,제 72 기말,8233722178,5,KRW,,,,,연결,,
20190814000290,11012,2019,00109286,BS,재무상태표,ifrs_Inventories,재고자산,-,제 73 기 반기말,201703027507,제 72 기말,219085861326,6,KRW,,,,,연결,,
20190814000290,11012,2019,00109286,BS,재무상태표,ifrs_CurrentTaxAssets,당기법인세자산,-,제 73 기 반기말,862319612,제 72 기말,338901917,7,KRW,,,,,연결,,
20190814000290,11012,2019,00109286,BS,재무상태표,ifrs_NoncurrentAssets,비유동자산,-,제 73 기 반기말,337024997008,제 72 기말,324916117813,8,KRW,,,,,연결,,
20190814000290,11012,2019,00109286,BS,재무상태표,ifrs_InvestmentsInSubsidiariesJointVenturesAndAssociates,"종속기업, 조인트벤처와 관계기업에 대한 투자자산",-,제 73 기 반기말,21925002689,제 72 기말,21555027448,9,KRW,,,,,연결,,
20190814000290,11012,2019,00109286,BS,재무상태표,ifrs_InvestmentProperty,투자부동산,-,제 73 기 반기말,6458502528,제 72 기말,6473854650,10,KRW,,,,,연결,,
20190814000290,11012,2019,00109286,BS,재무상태표,ifrs_PropertyPlantAndEquipment,유형자산,-,제 73 기 반기말,283150588609,제 72 기말,270206601317,11,KRW,,,,,연결,,
20190814000290,11012,2019,00109286,BS,재무상태표,-표준계정코드 미사용-,리스사용권자산,-,제 73 기 반기말,305128704,제 72 기말,,12,KRW,,,,,연결,,
20190814000290,11012,2019,00109286,BS,재무상태표,ifrs_IntangibleAssetsOtherThanGoodwill,무형자산,-,제 73 기 반기말,12950270482,제 72 기말,14875529143,13,KRW,,,,,연결,,
20190814000290,11012,2019,00109286,BS,재무상태표,ifrs_OtherNoncurrentFinancialAssets,기타비유동금융자산,-,제 73 기 반기말,4185413400,제 72 기말,3386048283,14,KRW,,,,,연결,,
20190814000290,11012,2019,00109286,BS,재무상태표,ifrs_DeferredTaxAssets,이연법인세자산,-,제 73 기 반기말,8050090596,제 72 기말,8419056972,15,KRW,,,,,연결,,
20190814000290,11012,2019,00109286,BS,재무상태표,ifrs_Assets,자산총계,-,제 73 기 반기말,904191007975,제 72 기말,772716727753,16,KRW,,,,,연결,,
20190814000290,11012,2019,00109286,BS,재무상태표,ifrs_CurrentLiabilities,유동부채,-,제 73 기 반기말,509560894374,제 72 기말,430776843813,18,KRW,,,,,연결,,
20190814000290,11012,2019,00109286,BS,재무상태표,ifrs_TradeAndOtherCurrentPayables,매입채무 및 기타유동채무,-,제 73 기 반기말,137920168882,제 72 기말,100511560894,19,KRW,,,,,연결,,
20190814000290,11012,2019,00109286,BS,재무상태표,ifrs_ShorttermBorrowings,단기차입금,-,제 73 기 반기말,297714386116,제 72 기말,279992095593,20,KRW,,,,,연결,,
