rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,ord,currency,thstrm_add_amount,frmtrm_q_nm,frmtrm_q_amount,frmtrm_add_amount,연결구분,bfefrmtrm_nm,bfefrmtrm_amount
20221111000628,11014,2022,00144395,BS,재무상태표,ifrs-full_CurrentAssets,유동자산,-,제 48 기 3분기말,793932686843,제 47 기말,780421145328,1,KRW,,,,,연결,,
20221111000628,11014,2022,00144395,BS,재무상태표,ifrs-full_CashAndCashEquivalents,현금및현금성자산,-,제 48 기 3분기말,28326938507,제 47 기말,20526764934,2,KRW,,,,,연결,,
20221111000628,11014,2022,00144395,BS,재무상태표,dart_ShortTermDepositsNotClassifiedAsCashEquivalents,단기금융상품,-,제 48 기 3분기말,636510423497,제 47 기말,640280819340,3,KRW,,,,,연결,,
20221111000628,11014,2022,00144395,BS,재무상태표,ifrs-full_TradeAndOtherCurrentReceivables,매출채권 및 기타수취채권,-,제 48 기 3분기말,58450646099,제 47 기말,58765401504,4,KRW,,,,,연결,,
20221111000628,11014,2022,00144395,BS,재무상태표,ifrs-full_CurrentFinancialAssetsAtFairValueThroughProfitOrLossDesignatedUponInitialRecognition,당기손익-공정가치측정금융자산,-,제 48 기 3분기말,15211000000,제 47 기말,10075000000,5,KRW,,,,,연결,,
20221111000628,11014,2022,00144395,BS,재무상태표,dart_CurrentDerivativeAsset,파생상품자산,-,제 48 기 3분기말,341612420,제 47 기말,1681364826,6,KRW,,,,,연결,,
20221111000628,11014,2022,00144395,BS,재무상태표,-표준계정코드 미사용-,반환제품회수권,-,제 48 기 3분기말,97839922,제 47 기말,99099182,7,KRW,,,,,연결,,
20221111000628,11014,2022,00144395,BS,재무상태표,dart_OtherCurrentAssets,기타유동자산,-,제 48 기 3분기말,971452293,제 47 기말,621247651,8,KRW,,,,,연결,,
20221111000628,11014,2022,00144395,BS,재무상태표,ifrs-full_Inventories,재고자산,-,제 48 기 3분기말,54022774105,제 47 기말,48371447891,9,KRW,,,,,연결,,
20221111000628,11014,2022,00144395,BS,재무상태표,ifrs-full_NoncurrentAssets,비유동자산,-,제 48 기 3분기말,801713050701,제 47 기말,802156734982,10,KRW,,,,,연결,,
