,날짜,시가,고가,저가,종가,거래량,등락률,MA_20,RSI_14,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0
0,2019-08-09,60500,68900,53900,54600,324642,,,,,,,,
1,2019-08-12,54400,56200,53000,53600,166709,-1.8315018315018317,,,,,,,
2,2019-08-13,52600,53200,51400,51800,163852,-3.3582089552238807,,,,,,,
3,2019-08-14,52400,52900,51900,51900,95402,0.193050193050193,,,,,,,
4,2019-08-16,51200,51800,50000,51100,63207,-1.5414258188824663,,,,,,,
5,2019-08-19,51700,54100,51400,52500,82918,2.73972602739726,,,,,,,
6,2019-08-20,53200,53800,52500,53800,37312,2.4761904761904763,,,,,,,
7,2019-08-21,53800,56000,53200,55000,41778,2.2304832713754648,,,,,,,
8,2019-08-22,55000,56700,55000,56400,27663,2.5454545454545454,,,,,,,
9,2019-08-23,55900,56600,55300,56100,23459,-0.5319148936170213,,,,,,,
10,2019-08-26,55000,55600,54400,54700,15880,-2.4955436720142603,,,,,,,
11,2019-08-27,54600,55400,53700,53700,29742,-1.8281535648994516,,,,,,,
12,2019-08-28,53800,55000,53800,54900,19888,2.23463687150838,,,,,,,
13,2019-08-29,54900,56000,54900,55100,24045,0.3642987249544626,,,,,,,
14,2019-08-30,55900,56900,55300,56000,43353,1.6333938294010888,,59.483348778419725,,,,,
15,2019-09-02,55600,56700,55600,55900,21667,-0.1785714285714285,,58.761350521046104,,,,,
16,2019-09-03,55700,56600,55600,56100,16112,0.3577817531305903,,59.81198576543379,,,,,
17,2019-09-04,56200,56900,56000,56700,20227,1.06951871657754,,62.86830193914897,,,,,
18,2019-09-05,56500,57900,56500,57100,25974,0.7054673721340388,,64.7907387322013,,,,,
19,2019-09-06,57000,57200,55800,56400,19068,-1.2259194395796849,54670.0,59.030911211059745,51207.5731054649,54670.0,58132.4268945351,12.666643111524053,0.7498247692580218
20,2019-09-09,56100,56900,56100,56500,19077,0.1773049645390071,54765.0,59.58367553535857,51212.38124758651,54765.0,58317.61875241349,12.974048214784945,0.7441860668023159
21,2019-09-10,56200,57100,56200,56900,23658,0.7079646017699115,54930.0,61.8036609220405,51303.37622574384,54930.0,58556.62377425616,13.20452857912309,0.7716024769351846
22,2019-09-11,56900,57900,56900,57300,23952,0.7029876977152899,55205.0,63.93690699815478,51738.89267332935,55205.0,58671.10732667065,12.557222449671775,0.8022122228991015
23,2019-09-16,57300,59500,57300,59200,36697,3.315881326352531,55570.0,71.95043327925318,52036.10696256947,55570.0,59103.89303743053,12.71870807065153,1.0135978878748622
24,2019-09-17,59100,59600,58400,59600,15415,0.6756756756756757,55995.0,73.29577245070881,52675.67778002798,55995.0,59314.32221997202,11.85578076603989,1.0430325471731983
25,2019-09-18,59800,61800,59600,61400,42333,3.02013422818792,56440.0,78.33215346856554,52748.71296158102,56440.0,60131.28703841898,13.080393474199083,1.1718523848695905
26,2019-09-19,61100,61600,59900,60400,27465,-1.6286644951140066,56770.0,70.38961500789804,52905.753631042666,56770.0,60634.246368957334,13.613691629231404,0.9696905493864073
27,2019-09-20,60000,60600,59600,59600,18050,-1.3245033112582782,57000.0,64.7346402632002,53038.1822353874,57000.0,60961.8177646126,13.901114963552978,0.8281322052749993
28,2019-09-23,59600,60500,59600,60200,9996,1.006711409395973,57190.0,66.88352039357758,53003.402336025116,57190.0,61376.597663974884,14.641012988196833,0.8594804470824423
29,2019-09-24,60200,61100,60100,60800,13232,0.9966777408637874,57425.0,68.92286020095123,52989.29261560233,57425.0,61860.70738439767,15.448697899512995,0.8804353745099776
30,2019-09-25,60500,61200,59800,60300,19400,-0.8223684210526315,57705.0,65.31332986390576,53285.73535528817,57705.0,62124.26464471183,15.316747750495907,0.7936008825704998
31,2019-09-26,60300,60900,59900,60800,12373,0.8291873963515755,58060.0,67.16518359212813,53848.87188511202,58060.0,62271.12811488798,14.506125094343709,0.8253285016802305
32,2019-09-27,60700,60800,59600,60000,5727,-1.3157894736842104,58315.0,61.50704479031752,54286.4642858726,58315.0,62343.5357141274,13.816464765934665,0.7091330596984641
33,2019-09-30,59800,60300,59200,60000,7029,0.0,58560.0,61.50704479031752,54753.4792789215,58560.0,62366.5207210785,13.000412298765372,0.6891491082691394
34,2019-10-01,59200,61500,59200,61300,16144,2.166666666666667,58825.0,66.78102347971202,55030.33268915443,58825.0,62619.66731084557,12.90154631821699,0.8261155454822324
35,2019-10-02,60300,61000,58400,59300,15671,-3.262642740619902,58995.0,54.42620205329195,55442.83164813378,58995.0,62547.16835186622,12.04226918168054,0.5429315237606575
36,2019-10-04,59300,59300,56700,56700,25903,-4.3844856661045535,59025.0,43.22946870423111,55562.125471519365,59025.0,62487.874528480635,11.733585865245693,0.16429623989002676
