,news_title,news_category,news_date,label,prob
0,[특징주] 경영권 분쟁 확대 관측 속 한진그룹주 강세,증권종목·투자전략,2019.12.30,positive,0.9998730421066284
1,"<유>진에어, 3.27% 오르며 체결강도 강세로 반전(142%)",증권News봇,2019.12.27,positive,0.9998806715011597
2,"<유>대한항공우, 상한가 진입.. +29.88% ↑",증권News봇,2019.12.24,positive,0.9998805522918701
3,"<유>한진칼우, 상한가 진입.. +29.94% ↑",증권News봇,2019.12.24,positive,0.9998818635940552
4,"<유>진에어, 전일 대비 8.86% 상승.. 일일회전율은 1.17% 기록",증권News봇,2019.12.23,positive,0.9998428821563721
5,"<유>진에어, 3.48% 오르며 체결강도 강세 지속(159%)",증권News봇,2019.12.23,positive,0.9998579025268555
6,"<유>진에어, 3.65% 오르며 체결강도 강세로 반전(181%)",증권News봇,2019.12.18,positive,0.999880313873291
7,"""은은하고 산뜻하게""…진에어, 기내에 향기 테라피 도입",산업기업,2019.12.18,neutral,0.9929941296577454
8,中 '한한령' 해제 기대...항공·화장품 꿈틀,증권종목·투자전략,2019.11.25,positive,0.967951238155365
9,[특징주] 지소미아 종료 유예에 저비용항공사 장 초반 상승,증권종목·투자전략,2019.11.25,positive,0.999602735042572
10,진에어 '균열' 보잉737NG 수리완료…19일부터 운항 재개,산업기업,2019.11.18,positive,0.9996885061264038
11,"""진에어, 국토부 제재 장기화로 펀더멘털 악화 가속""",증권종목·투자전략,2019.11.18,negative,0.9996961355209351
12,[기로에 선 항공산업]갈라파고스 규제에...날개 못펴는 국내항공,산업기업,2019.11.14,negative,0.9988866448402405
13,성수기에도 잇단 적자...항공사 '보이콧 재팬' 직격탄,산업기업,2019.11.14,negative,0.9998316764831543
14,항공사 3분기 영업익 42%↓...'메가 캐리어' 체제로 구조조정 예고,산업기업,2019.11.13,negative,0.9956650137901306
15,"<유>진에어, 3.55% 오르며 체결강도 강세 지속(139%)",증권News봇,2019.11.05,positive,0.9998565912246704
16,"<유>진에어, 3.55% 오르며 체결강도 강세 지속(188%)",증권News봇,2019.11.05,positive,0.9998573064804077
17,확 늘어난 '중립' 보고서...코스피 거래 '뚝',증권국내증시,2019.10.30,neutral,0.9876495003700256
18,"""진에어, 국토부 제재 풀리면 주가상승 본격화""",증권종목·투자전략,2019.10.29,positive,0.9997480511665344
19,"[SEN]한국투자 “진에어, 악재 해소 시 기저효과 기대… 공급과잉은 우려”",증권종목·투자전략,2019.10.25,positive,0.9909520149230957
20,"""진에어, 3·4분기 적자전환 불가피...목표 주가↓""",증권종목·투자전략,2019.10.16,negative,0.9997003078460693
21,"[미·중 '미니딜'에 코스피 2,070 근접] 中 소비주 '웃음꽃'...삼성전자 5만원 회복",증권국내증시,2019.10.14,neutral,0.9999212026596069
22,"<유>진에어, 6.51% 오르며 체결강도 강세 지속(152%)",증권News봇,2019.10.14,positive,0.9998605251312256
23,"<유>진에어, 5.82% 오르며 체결강도 강세 지속(208%)",증권News봇,2019.10.14,positive,0.9998569488525391
24,"<유>진에어, 6.16% 오르며 체결강도 강세 지속(354%)",증권News봇,2019.10.14,positive,0.9998596906661987
